State,Lat,Lon,Average
Alabama,32.6010112,-86.6807365,8.7
Alaska,61.3025006,-158.7750198,8
Arizona,34.1682185,-111.930907,6.5
Arkansas,34.7519275,-92.1313784,11.9
California ,37.2718745,-119.2704153,6.3
Colorado,38.9979339,-105.550567,7.5
Connecticut,41.5187835,-72.757507,5.7
Delaware,39.145251,-75.4189206,6
Florida,27.6648,-81.5158,8.3
Georgia,32.6781248,-83.2229757,7
Hawaii,20.46,-157.505,18.3
Idaho,45.4945756,-114.1424303,9.8
Illinois,39.739318,-89.504139,6.2
Indiana,39.7662195,-86.441277,7.3
Iowa,41.9383166,-93.389798,6.8
Kansas,38.4987789,-98.3200779,6.7
Kentucky,37.8222935,-85.7682399,8.4
Louisiana,30.9733766,-91.4299097,7.3
Maine,45.2185133,-69.0148656,7.9
Maryland,38.8063524,-77.2684162,6.7
Massachusetts,42.0629398,-71.718067,5.9
Michigan,44.9435598,-86.4158049,6.1
Minnesota,46.4418595,-93.3655146,6
Mississippi,32.5851062,-89.8772196,6.4
Missouri,38.3046615,-92.437099,7.1
Montana,46.6797995,-110.044783,7.6
Nebraska,41.5008195,-99.680902,6.8
Nevada,38.502032,-117.0230604,50.3
New Hampshire,44.0012306,-71.5799231,7.5
New Jersey,40.1430058,-74.7311156,5.6
New Mexico,34.1662325,-106.0260685,7
New York,40.7056258,-73.97968,7.1
North Carolina,35.2145629,-79.8912675,7.2
North Dakota,47.4678819,-100.3022655,6.5
Ohio,40.1903624,-82.6692525,6.5
Oklahoma,35.3097654,-98.7165585,7.2
Oregon,44.1419049,-120.5380993,7.1
Pennsylvania,40.9945928,-77.6046984,5.7
Rhode Island,41.5827282,-71.5064508,6.8
South Carolina,33.62505,-80.9470381,8.4
South Dakota,44.2126995,-100.2471641,8
Tennessee,35.830521,-85.9785989,10.6
Texas,31.1693363,-100.0768425,7.7
Utah,39.4997605,-111.547028,9.2
Vermont,43.8717545,-72.4477828,9
Virginia,38.0033855,-79.4587861,7.8
Washington,47.7511,-120.7401,6.6
West Virginia,38.9201705,-80.1816905,7
Wisconsin,44.7862968,-89.8267049,5.9
Wyoming,43.000325,-107.5545669,8.6
