Year,Divorces & annulments,Population,"Rate per 1,000 total population"
20191,"746,971","272,842,748",2.7
20181,"782,038","271,791,413",2.9
20171,"787,251","270,423,493",2.9
20162,"776,288","257,904,548",3.0
20153,"800,909","258,518,265",3.1
20143,"813,862","256,483,624",3.2
20133,"832,157","254,408,815",3.3
20124,"851,000","248,041,986",3.4
20114,"877,000","246,273,366",3.6
20104,"872,000","244,122,529",3.6
20094,"840,000","242,610,561",3.5
20084,"844,000","240,545,163",3.5
20074,"856,000","238,352,850",3.6
20064,"872,000","236,094,277",3.7
20054,"847,000","233,495,163",3.6
20045,"879,000","236,402,656",3.7
20036,"927,000","243,902,090",3.8
20027,"955,000","243,108,303",3.9
20018,"940,000","236,416,762",4.0
20008,"944,000","233,550,143",4.0
